Year,Province,Division,District,Admin_Type,Urban_Rural,Dominant_Sector,Population,Population_Density,Area_km2,Literacy_Rate,Male_Literacy,Female_Literacy,GDP_Per_Capita,Poverty_Rate,Unemployment_Rate,Num_Schools,Num_Hospitals,Electricity_Access,Water_Access,Road_Network_km,Annual_Rainfall_mm,Avg_Temperature_C,Crime_Rate_per100k,Health_Expenditure_PKR,Education_Expenditure_PKR,Agriculture_Share_pct,Infant_Mortality_per1000,Life_Expectancy
2017,Balochistan,Sibi,Dera Bugti,District,Rural,Mining,835037,46.0,18151.9,44.26,50.73,27.64,36816.0,40.99,15.19,211,11,54.52,43.31,10126,148.5,25.1,43.46,1434.0,1318.0,23.92,50.63,57.86
2018,Balochistan,Sibi,Dera Bugti,District,Urban,Education,825906,72.15,11446.9,51.75,56.67,42.0,43575.0,29.39,8.57,212,11,59.31,45.42,7508,119.2,21.2,39.48,2032.0,2669.0,33.37,58.41,59.6
2019,Balochistan,Sibi,Dera Bugti,District,Urban,Construction,903158,54.45,16586.2,44.23,53.73,28.07,43159.0,37.83,13.67,269,18,52.62,40.1,6513,132.2,21.5,32.36,946.0,2812.0,30.53,51.28,58.05
2020,Balochistan,Sibi,Dera Bugti,District,Semi-Urban,Education,890144,67.87,13116.4,41.51,45.98,31.87,23041.0,37.8,9.24,207,19,41.3,38.39,5427,207.9,30.4,30.56,825.0,848.0,34.21,54.63,57.91
2021,Balochistan,Sibi,Dera Bugti,District,Rural,Construction,844828,30.58,27627.6,53.27,60.66,34.04,33834.0,34.85,11.46,183,12,61.0,63.97,23979,188.7,19.9,32.28,1322.0,1778.0,49.54,40.19,58.73
2022,Balochistan,Sibi,Dera Bugti,District,Urban,Healthcare,928881,87.05,10670.5,48.72,50.72,39.16,43749.0,30.92,15.27,305,12,55.92,50.25,4510,155.8,21.6,32.52,1251.0,2249.0,60.77,49.67,62.07
2023,Balochistan,Sibi,Dera Bugti,District,Rural,Manufacturing,981283,42.38,23153.2,44.26,55.08,36.43,40275.0,35.39,12.24,338,11,51.8,49.56,10348,233.4,25.7,28.52,1696.0,1836.0,41.86,43.55,59.77
2024,Balochistan,Sibi,Dera Bugti,District,Rural,Healthcare,941676,68.13,13822.7,47.74,57.83,31.6,33836.0,31.7,11.82,346,10,56.62,56.73,4998,213.2,22.0,49.58,815.0,1164.0,40.65,52.81,61.12
2015,Balochistan,Sibi,Kholu,District,Urban,Agriculture,522693,33.13,15775.9,38.85,45.24,31.98,37132.0,42.56,12.18,176,10,49.51,33.47,6872,265.0,21.9,33.61,1292.0,1622.0,20.41,69.91,53.65
2016,Balochistan,Sibi,Kholu,District,Semi-Urban,Manufacturing,531991,17.77,29943.0,46.73,49.44,30.09,40856.0,43.71,11.6,156,6,47.01,56.59,33120,261.3,18.8,33.55,1124.0,1849.0,43.51,48.63,60.77
2017,Balochistan,Sibi,Kholu,District,Urban,Construction,533532,24.24,22011.1,47.69,56.35,41.28,46838.0,36.04,14.48,169,5,46.62,60.42,20102,125.9,28.3,30.51,1375.0,2010.0,30.42,42.52,61.83
2018,Balochistan,Sibi,Kholu,District,Semi-Urban,Services,564085,19.97,28247.8,49.4,52.53,41.13,22160.0,32.4,12.54,158,10,54.04,45.96,8857,249.8,30.1,10.88,971.0,1183.0,51.65,63.94,59.28
2019,Balochistan,Sibi,Kholu,District,Urban,Healthcare,565547,19.42,29127.4,46.33,55.18,33.83,28614.0,37.98,13.41,151,6,52.02,42.48,25125,228.7,21.5,36.63,624.0,1596.0,36.92,54.98,59.08
2020,Balochistan,Sibi,Kholu,District,Semi-Urban,Manufacturing,598723,108.4,5523.2,52.83,61.72,44.93,45747.0,32.77,11.45,221,6,59.37,60.04,2903,235.0,24.1,36.9,969.0,2665.0,37.91,59.97,61.23
2021,Balochistan,Sibi,Kholu,District,Urban,Construction,602537,38.32,15722.6,47.31,50.91,29.4,39516.0,34.79,14.52,162,8,47.43,49.58,8900,246.2,26.4,38.66,1103.0,1766.0,46.56,47.75,60.01
2022,Balochistan,Sibi,Kholu,District,Urban,Mining,560467,44.43,12613.2,53.53,60.92,38.65,43702.0,31.11,9.86,219,13,61.03,61.02,11539,133.0,28.1,23.12,1878.0,1580.0,39.37,45.21,62.77
2023,Balochistan,Sibi,Kholu,District,Rural,Education,598523,54.33,11016.7,51.83,55.74,45.22,37612.0,36.15,10.53,261,7,47.3,62.81,11596,122.2,18.4,32.73,1495.0,1919.0,21.59,52.91,62.06
2024,Balochistan,Sibi,Kholu,District,Rural,Mining,667433,54.45,12257.9,51.52,61.53,45.32,33601.0,36.04,10.31,174,15,60.32,47.97,11879,178.5,30.5,31.09,1570.0,2113.0,23.04,44.99,60.41
2015,Balochistan,Sibi,Sibi,District,Urban,Education,784135,46.64,16812.6,41.62,47.48,33.16,34993.0,38.61,11.25,186,8,38.63,39.7,8807,183.5,19.4,30.89,1356.0,1300.0,29.66,45.56,57.91
2016,Balochistan,Sibi,Sibi,District,Urban,Manufacturing,806663,162.82,4954.4,52.68,58.69,44.97,30724.0,33.67,11.37,205,13,54.29,58.08,3866,248.9,20.3,29.59,1167.0,2069.0,36.88,47.59,59.38
2017,Balochistan,Sibi,Sibi,District,Urban,Education,836032,27.95,29911.8,41.95,47.7,28.77,35309.0,35.26,14.46,184,12,47.26,52.18,15813,148.2,21.4,31.67,1725.0,1691.0,47.51,53.5,53.58
2018,Balochistan,Sibi,Sibi,District,Semi-Urban,Education,831952,28.18,29522.8,46.59,48.81,28.76,41298.0,36.8,9.03,219,11,56.84,45.64,30706,144.1,21.1,40.99,1965.0,2084.0,61.1,47.77,59.65
2019,Balochistan,Sibi,Sibi,District,Urban,Manufacturing,863064,186.0,4640.0,31.5,39.21,22.0,38080.0,44.98,17.45,255,17,32.33,44.57,4458,135.0,21.6,47.31,1588.0,2350.0,48.45,62.15,53.47
2020,Balochistan,Sibi,Sibi,District,Rural,Services,841920,39.51,21308.7,51.22,53.78,45.04,46763.0,36.63,12.35,225,8,55.02,49.54,23265,221.5,26.1,40.47,1545.0,3143.0,58.55,43.49,60.5
2021,Balochistan,Sibi,Sibi,District,Rural,Education,847387,36.95,22935.0,47.27,54.92,37.48,46475.0,29.29,10.88,186,8,52.05,52.83,11438,99.7,25.3,27.82,1000.0,2754.0,36.34,49.02,59.49
2022,Balochistan,Sibi,Sibi,District,Urban,Agriculture,899625,48.2,18663.7,44.67,47.16,31.1,37644.0,37.73,14.44,255,16,44.55,45.86,12293,113.8,19.2,23.87,1244.0,2180.0,39.96,48.91,60.65
2023,Balochistan,Sibi,Sibi,District,Rural,Mining,986019,130.65,7547.0,41.47,47.77,32.48,39918.0,35.99,11.9,309,13,45.74,55.19,2872,184.4,21.4,40.41,1603.0,1874.0,54.24,56.43,57.83
2024,Balochistan,Sibi,Sibi,District,Rural,Manufacturing,926482,49.73,18628.6,47.47,49.92,40.28,35765.0,39.29,12.12,447,15,57.54,52.67,17079,268.2,24.2,46.87,883.0,2115.0,60.91,59.36,56.58
2015,Balochistan,Sibi,Ziarat,District,Rural,Manufacturing,237628,12.26,19388.1,49.83,55.15,37.76,25422.0,40.03,12.19,97,2,49.16,49.22,9372,234.8,22.3,31.65,908.0,1026.0,57.0,47.02,59.32
2016,Balochistan,Sibi,Ziarat,District,Rural,Agriculture,242873,40.77,5957.7,43.21,53.1,33.95,39023.0,38.95,13.49,59,5,47.63,50.0,4280,97.8,20.4,31.72,1887.0,1275.0,50.9,39.91,58.0
2017,Balochistan,Sibi,Ziarat,District,Semi-Urban,Construction,250393,9.09,27560.3,43.05,52.14,30.42,38375.0,33.59,11.68,81,5,43.13,54.26,29767,159.6,31.7,31.6,1379.0,1437.0,65.19,51.91,60.82
2018,Balochistan,Sibi,Ziarat,District,Rural,Manufacturing,254043,9.09,27937.8,44.22,49.74,34.01,33792.0,39.82,11.84,123,4,47.74,44.26,33424,160.8,20.2,49.14,1668.0,1387.0,51.26,52.1,59.0
2019,Balochistan,Sibi,Ziarat,District,Rural,Mining,248798,19.38,12840.8,38.83,42.2,27.94,29034.0,43.86,13.87,49,2,49.11,51.99,14953,130.6,22.8,27.25,1114.0,1597.0,56.49,52.35,58.9
2020,Balochistan,Sibi,Ziarat,District,Urban,Services,256858,40.92,6277.0,54.74,64.74,41.62,29391.0,29.58,11.91,52,2,54.21,57.37,5772,127.2,19.9,26.92,1380.0,1951.0,63.13,42.76,58.6
2021,Balochistan,Sibi,Ziarat,District,Rural,Agriculture,268793,11.41,23561.4,47.6,58.0,39.84,50712.0,32.19,13.72,67,3,45.21,41.82,23299,185.9,28.1,26.85,2353.0,2361.0,27.28,50.29,57.29
2022,Balochistan,Sibi,Ziarat,District,Rural,Mining,273487,9.72,28145.5,51.69,59.81,35.26,37561.0,24.51,11.68,58,2,50.63,59.52,23955,109.2,20.6,29.44,1423.0,1474.0,33.34,51.67,60.43
2023,Balochistan,Sibi,Ziarat,District,Urban,Construction,258649,10.85,23835.1,42.3,45.93,30.19,26899.0,43.31,14.2,107,2,45.1,48.94,23551,123.1,23.4,38.83,550.0,1097.0,31.31,56.81,57.73
2024,Balochistan,Sibi,Ziarat,District,Rural,Construction,284805,9.6,29670.8,47.41,53.99,37.54,49848.0,37.06,14.22,66,6,56.58,60.01,29629,246.1,24.9,25.1,1906.0,3139.0,32.34,40.75,59.73
2015,Balochistan,Zhob,Barkhan,District,Rural,Mining,727012,40.36,18014.2,45.82,56.6,27.66,43242.0,37.29,12.76,201,9,51.8,39.72,11818,109.7,24.4,33.62,1819.0,2262.0,32.29,51.39,61.73
2016,Balochistan,Zhob,Barkhan,District,Rural,Manufacturing,743662,220.0,3380.3,43.42,45.97,29.22,36405.0,37.57,11.17,258,11,43.65,53.46,2424,173.0,23.9,26.26,1434.0,1224.0,45.85,62.3,57.81
2017,Balochistan,Zhob,Barkhan,District,Rural,Agriculture,760120,41.33,18392.5,45.9,56.86,27.46,25252.0,37.97,9.89,162,10,47.21,45.49,9657,94.5,24.4,26.71,1029.0,1674.0,64.13,50.58,58.14
2018,Balochistan,Zhob,Barkhan,District,Rural,Construction,794222,145.48,5459.2,48.17,59.66,35.49,41076.0,41.57,12.83,339,11,48.79,51.42,1853,159.1,29.1,27.78,1032.0,1783.0,38.93,44.61,62.61
2019,Balochistan,Zhob,Barkhan,District,Rural,Manufacturing,823937,125.99,6539.5,42.55,46.35,33.21,46466.0,33.7,12.28,338,9,39.06,42.33,1982,221.4,31.5,36.71,1996.0,1417.0,64.93,59.41,57.61
2020,Balochistan,Zhob,Barkhan,District,Rural,Services,812329,33.01,24608.7,41.55,43.62,27.54,37056.0,38.6,12.92,212,11,40.65,48.51,21109,171.7,24.2,38.05,1361.0,2335.0,64.11,55.09,54.21
2021,Balochistan,Zhob,Barkhan,District,Urban,Education,777361,38.31,20291.8,46.45,52.62,40.71,27458.0,35.35,11.99,368,8,51.81,56.24,11281,143.7,30.9,42.4,1094.0,1592.0,28.91,41.07,62.0
2022,Balochistan,Zhob,Barkhan,District,Urban,Agriculture,860107,29.6,29056.2,46.8,56.38,29.49,41314.0,31.67,13.22,202,13,42.65,55.15,16374,148.1,30.6,34.25,993.0,2387.0,62.17,52.16,59.7
2023,Balochistan,Zhob,Barkhan,District,Rural,Education,831060,49.79,16690.1,58.32,67.21,46.07,41414.0,25.39,11.55,203,10,54.13,64.17,9320,203.2,31.8,21.38,1585.0,1767.0,66.69,47.14,62.53
2024,Balochistan,Zhob,Barkhan,District,Urban,Agriculture,893176,75.01,11907.9,48.18,57.26,34.03,58288.0,30.94,10.26,373,12,51.15,53.59,4839,178.7,20.5,37.38,1979.0,3606.0,68.96,58.06,61.8
2015,Balochistan,Zhob,Loralai,District,Urban,Mining,740332,54.4,13609.7,52.42,55.1,43.6,34952.0,35.21,11.13,346,12,59.27,48.8,8050,205.3,27.7,29.03,705.0,2007.0,35.01,42.3,61.94
2016,Balochistan,Zhob,Loralai,District,Rural,Education,754053,39.18,19247.8,47.75,56.2,30.79,38877.0,38.98,11.92,361,14,47.93,47.34,13753,211.0,30.8,23.92,1787.0,2560.0,44.07,51.25,58.35
2017,Balochistan,Zhob,Loralai,District,Rural,Healthcare,772601,27.61,27978.1,44.01,49.33,30.35,42481.0,35.41,14.09,356,10,48.08,50.97,17297,189.9,18.3,30.95,2085.0,1751.0,65.81,50.35,60.85
2018,Balochistan,Zhob,Loralai,District,Urban,Construction,764531,39.12,19542.3,47.44,52.58,31.86,48496.0,36.88,12.46,168,10,48.54,52.23,7389,245.6,28.5,35.73,2246.0,2176.0,21.58,57.5,58.05
2019,Balochistan,Zhob,Loralai,District,Urban,Services,835635,50.03,16702.8,36.75,47.8,19.76,30329.0,45.2,10.9,330,13,33.64,35.28,18895,106.7,25.1,41.15,1273.0,1545.0,27.7,58.02,54.12
2020,Balochistan,Zhob,Loralai,District,Rural,Agriculture,855702,32.4,26410.4,48.07,55.29,32.36,26511.0,35.21,9.11,191,8,53.41,43.51,24253,220.4,24.4,46.64,1003.0,888.0,20.21,53.9,64.69
2021,Balochistan,Zhob,Loralai,District,Rural,Construction,841967,50.79,16576.2,42.91,47.67,35.02,24336.0,33.23,12.33,211,14,47.28,42.71,14985,250.6,22.5,40.21,686.0,883.0,35.96,53.62,60.89
2022,Balochistan,Zhob,Loralai,District,Urban,Services,809612,45.82,17669.5,49.85,53.56,36.23,53785.0,29.78,10.91,350,11,53.1,47.79,13897,259.8,29.3,21.85,1158.0,1676.0,35.57,48.26,60.84
2023,Balochistan,Zhob,Loralai,District,Rural,Manufacturing,956806,75.1,12740.8,35.18,40.74,23.49,25958.0,43.21,14.36,423,15,42.23,47.73,11996,203.3,27.7,39.16,1042.0,1333.0,36.62,65.07,53.41
2024,Balochistan,Zhob,Loralai,District,Urban,Manufacturing,1003238,66.71,15039.5,43.84,50.49,28.19,50295.0,39.77,12.84,418,11,53.25,46.63,6457,172.0,27.6,40.88,2357.0,2028.0,31.58,50.83,54.82
2015,Balochistan,Zhob,Musakhel,District,Urban,Mining,451803,40.16,11249.2,46.74,51.56,29.05,42682.0,34.68,10.97,98,7,49.38,41.03,4664,110.3,24.7,31.58,985.0,2676.0,37.43,46.52,56.85
2016,Balochistan,Zhob,Musakhel,District,Rural,Healthcare,465320,23.05,20184.6,51.49,57.33,31.88,28369.0,37.54,11.35,106,6,52.35,52.03,18663,201.8,25.7,38.47,934.0,1963.0,37.04,43.8,58.05
2017,Balochistan,Zhob,Musakhel,District,Rural,Construction,473916,22.11,21435.7,43.48,48.73,29.54,29663.0,40.11,14.22,188,5,50.22,51.19,9829,240.6,19.6,30.6,1444.0,972.0,24.88,50.93,60.89
2018,Balochistan,Zhob,Musakhel,District,Rural,Manufacturing,469262,19.89,23597.6,43.21,51.57,24.66,43753.0,39.31,16.28,149,6,48.79,38.54,21114,237.1,30.4,35.78,1470.0,1823.0,20.01,56.48,56.82
2019,Balochistan,Zhob,Musakhel,District,Rural,Mining,499464,64.38,7758.5,49.85,61.0,34.09,34494.0,29.06,14.12,107,8,56.78,55.97,2384,255.3,31.1,22.07,1711.0,1593.0,69.51,48.17,60.46
2020,Balochistan,Zhob,Musakhel,District,Rural,Construction,482393,39.1,12338.2,35.45,39.81,17.47,30989.0,42.9,15.62,132,11,42.46,46.55,10644,154.7,30.1,43.78,1281.0,1433.0,55.11,62.81,55.49
2021,Balochistan,Zhob,Musakhel,District,Urban,Education,511442,74.6,6855.5,50.73,53.99,32.64,29382.0,36.32,13.6,211,6,58.31,50.33,2153,165.1,22.0,24.77,1223.0,1453.0,20.58,46.77,58.02
2022,Balochistan,Zhob,Musakhel,District,Urban,Construction,522259,119.49,4370.6,53.09,60.19,45.39,54790.0,37.2,12.96,133,8,54.62,60.91,2824,198.8,24.0,29.47,1467.0,2575.0,47.6,36.19,60.78
2023,Balochistan,Zhob,Musakhel,District,Rural,Education,489958,21.81,22465.6,51.68,57.36,39.43,40477.0,37.56,11.24,118,8,60.41,55.45,8358,96.0,18.5,28.76,1696.0,2067.0,49.01,41.4,59.79
2024,Balochistan,Zhob,Musakhel,District,Semi-Urban,Mining,597187,60.79,9823.8,49.57,58.41,34.54,50123.0,40.5,15.68,168,8,53.76,47.04,5710,203.5,27.3,30.49,1082.0,2192.0,46.96,49.07,60.41
2015,Balochistan,Zhob,Qilla Saifullah,District,Rural,Mining,772006,51.0,15138.5,34.23,43.73,15.39,32324.0,47.27,12.62,183,11,45.22,45.06,8090,142.1,18.5,29.4,1257.0,1717.0,56.35,62.93,54.49
2016,Balochistan,Zhob,Qilla Saifullah,District,Urban,Services,790782,77.76,10169.1,42.15,50.31,33.37,37082.0,42.01,15.01,187,18,45.21,38.37,3180,103.8,29.0,48.62,866.0,1371.0,33.76,55.06,56.37
2017,Balochistan,Zhob,Qilla Saifullah,District,Urban,Healthcare,810763,55.89,14506.3,40.65,43.5,30.51,24474.0,34.26,9.89,183,14,47.1,44.25,6364,233.9,30.1,42.64,854.0,1707.0,27.25,52.46,60.26
2018,Balochistan,Zhob,Qilla Saifullah,District,Rural,Services,841772,58.76,14325.2,42.68,46.36,35.94,27637.0,42.39,16.36,215,15,49.43,43.18,10437,205.6,28.6,27.67,1339.0,1849.0,39.94,52.23,57.48
2019,Balochistan,Zhob,Qilla Saifullah,District,Rural,Agriculture,822099,63.62,12922.0,47.4,54.7,37.66,41304.0,38.31,14.49,294,11,49.18,46.07,14549,233.5,23.3,42.63,1616.0,2819.0,67.79,49.76,56.57
2020,Balochistan,Zhob,Qilla Saifullah,District,Semi-Urban,Manufacturing,855682,32.87,26034.0,45.53,54.87,29.29,49503.0,35.12,11.43,284,15,42.45,51.79,19992,160.4,28.8,18.44,1997.0,3452.0,49.44,46.04,58.81
2021,Balochistan,Zhob,Qilla Saifullah,District,Rural,Agriculture,858374,383.66,2237.3,46.25,48.59,37.47,23249.0,33.18,14.16,389,13,49.5,53.02,2560,153.3,28.2,39.78,923.0,1474.0,50.97,43.02,57.02
2022,Balochistan,Zhob,Qilla Saifullah,District,Semi-Urban,Services,974014,44.63,21826.1,43.66,54.62,24.15,43703.0,35.52,9.14,412,10,41.24,50.24,12334,252.0,25.9,31.51,1740.0,1443.0,54.78,58.55,55.53
2023,Balochistan,Zhob,Qilla Saifullah,District,Rural,Services,914050,38.83,23542.1,44.59,50.48,38.66,56597.0,38.41,11.45,224,11,51.68,43.05,27309,230.5,21.9,29.99,1581.0,2695.0,69.8,61.61,61.06
2024,Balochistan,Zhob,Qilla Saifullah,District,Semi-Urban,Agriculture,941454,49.32,19088.5,54.55,63.7,35.86,56068.0,36.78,8.4,371,13,51.25,61.74,6936,129.3,27.0,35.59,2345.0,3425.0,25.16,50.55,58.29
2015,Balochistan,Zhob,Zhob,District,Rural,Construction,185904,91.84,2024.3,47.76,57.47,32.14,35913.0,37.48,13.01,87,2,45.26,47.19,2145,160.4,18.1,20.29,1560.0,2206.0,43.91,56.58,61.67
2016,Balochistan,Zhob,Zhob,District,Semi-Urban,Agriculture,190273,6.63,28716.3,45.62,53.94,34.61,19863.0,36.17,11.78,42,2,49.57,57.48,18057,154.6,27.5,18.76,906.0,866.0,67.94,52.08,59.68
2017,Balochistan,Zhob,Zhob,District,Semi-Urban,Education,197620,19.53,10118.8,48.62,57.51,42.02,41022.0,31.61,12.09,75,2,58.27,54.54,7024,143.8,23.5,29.16,1054.0,1289.0,44.33,51.95,58.85
2018,Balochistan,Zhob,Zhob,District,Rural,Services,191898,22.11,8677.6,38.17,40.34,18.67,48853.0,39.16,16.54,60,2,44.01,42.44,8755,263.7,29.4,30.79,1040.0,1697.0,36.96,57.18,56.28
2019,Balochistan,Zhob,Zhob,District,Rural,Mining,209380,14.11,14834.4,40.14,48.68,33.01,40837.0,42.69,11.98,51,2,38.36,45.7,5061,256.5,18.5,36.05,1676.0,1438.0,43.56,57.39,56.57
2020,Balochistan,Zhob,Zhob,District,Urban,Healthcare,199587,18.82,10605.4,43.51,53.5,31.05,23741.0,34.76,16.06,45,2,41.72,48.8,5115,237.2,19.5,30.19,715.0,1506.0,31.03,61.97,60.05
2021,Balochistan,Zhob,Zhob,District,Rural,Healthcare,219980,40.87,5382.5,49.9,52.53,42.3,35214.0,36.94,12.16,54,3,49.73,61.71,3625,128.4,18.6,35.98,1440.0,1836.0,33.69,52.47,57.49
2022,Balochistan,Zhob,Zhob,District,Rural,Education,214965,68.47,3139.6,48.57,52.37,43.48,52758.0,42.56,11.77,93,2,52.9,56.84,2619,92.8,24.8,25.61,1504.0,3046.0,24.46,51.63,61.1
2023,Balochistan,Zhob,Zhob,District,Rural,Agriculture,235143,42.35,5553.0,44.27,53.44,30.33,39759.0,32.34,13.18,96,4,46.6,42.41,4800,121.4,27.7,38.06,1729.0,1746.0,50.6,52.28,61.19
2024,Balochistan,Zhob,Zhob,District,Urban,Manufacturing,203527,38.47,5290.2,52.75,61.35,36.2,32923.0,29.55,8.49,56,4,52.91,60.06,2123,187.2,21.1,12.61,806.0,2099.0,33.82,51.04,61.19
2015,Federally Administered Tribal Ar,F.A.T.A.,Bajaur,District,Urban,Mining,1275419,171.89,7420.0,39.25,42.3,27.45,20379.0,43.81,12.3,589,20,38.47,38.39,3400,446.7,30.5,33.94,888.0,1007.0,12.36,56.58,52.94
2016,Federally Administered Tribal Ar,F.A.T.A.,Bajaur,District,Urban,Healthcare,1291873,218.57,5910.5,46.37,49.35,36.47,37955.0,36.75,12.87,341,21,44.71,52.95,2836,330.3,28.9,28.44,1774.0,1250.0,43.2,60.93,56.87
2017,Federally Administered Tribal Ar,F.A.T.A.,Bajaur,District,Urban,Agriculture,1339012,355.27,3769.0,41.41,46.1,31.03,19114.0,38.18,14.44,505,17,39.94,42.66,3478,383.1,20.7,36.16,416.0,678.0,25.12,58.01,59.36
2018,Federally Administered Tribal Ar,F.A.T.A.,Bajaur,District,Rural,Agriculture,1398933,784.15,1784.0,38.16,49.86,30.61,29582.0,36.45,13.38,461,15,43.4,48.23,1196,455.2,26.6,21.46,1055.0,1908.0,48.48,46.38,57.51
2019,Federally Administered Tribal Ar,F.A.T.A.,Bajaur,District,Rural,Agriculture,1355877,341.47,3970.7,46.01,57.47,27.1,30846.0,39.18,13.5,663,20,54.5,44.06,2684,373.7,21.1,29.56,658.0,2148.0,51.12,51.77,59.46
2020,Federally Administered Tribal Ar,F.A.T.A.,Bajaur,District,Semi-Urban,Manufacturing,1466661,397.18,3692.7,47.54,56.47,31.24,32569.0,36.27,14.38,460,16,53.23,42.37,1548,398.1,19.2,13.86,940.0,1821.0,28.3,44.47,59.29
2021,Federally Administered Tribal Ar,F.A.T.A.,Bajaur,District,Urban,Services,1372228,492.5,2786.3,49.01,55.06,30.9,32893.0,37.43,12.94,333,15,55.32,42.15,2407,381.9,28.8,35.25,1352.0,989.0,45.54,60.88,57.44
2022,Federally Administered Tribal Ar,F.A.T.A.,Bajaur,District,Urban,Services,1523154,268.13,5680.6,39.86,48.71,31.75,31265.0,42.21,10.94,423,26,47.17,47.84,5465,445.0,26.1,40.01,677.0,2120.0,37.92,56.64,60.45
2023,Federally Administered Tribal Ar,F.A.T.A.,Bajaur,District,Urban,Manufacturing,1576754,1183.53,1332.2,41.65,45.7,26.01,46479.0,34.14,12.4,509,20,42.97,38.91,1046,423.5,18.9,30.87,1835.0,2765.0,54.16,67.14,58.36
2024,Federally Administered Tribal Ar,F.A.T.A.,Bajaur,District,Rural,Mining,1646864,285.35,5771.3,44.87,50.6,39.05,47381.0,35.19,11.04,386,19,45.19,56.1,4467,401.4,23.9,26.46,1122.0,2767.0,30.36,53.64,59.35
2015,Federally Administered Tribal Ar,F.A.T.A.,Khyber,District,Rural,Services,1013096,196.45,5157.1,34.07,36.87,22.2,23347.0,35.45,17.33,230,10,42.8,47.78,5994,226.3,30.5,39.49,521.0,854.0,50.41,55.22,56.29
2016,Federally Administered Tribal Ar,F.A.T.A.,Khyber,District,Urban,Agriculture,1026064,629.98,1628.7,47.48,53.68,35.37,20718.0,35.3,13.35,392,10,43.07,48.69,915,473.0,31.0,48.76,453.0,1344.0,43.2,52.77,57.41
2017,Federally Administered Tribal Ar,F.A.T.A.,Khyber,District,Urban,Manufacturing,1045379,195.95,5335.0,38.32,44.78,20.69,40338.0,39.21,11.18,323,17,44.18,39.1,5913,437.3,27.8,39.88,1178.0,2484.0,23.68,61.3,56.03
2018,Federally Administered Tribal Ar,F.A.T.A.,Khyber,District,Rural,Education,1061470,398.88,2661.1,29.78,33.6,16.75,27461.0,46.15,13.93,233,21,31.06,44.43,2457,447.5,20.3,31.97,1098.0,992.0,17.89,72.28,55.85
2019,Federally Administered Tribal Ar,F.A.T.A.,Khyber,District,Urban,Manufacturing,1079284,375.44,2874.7,45.0,50.73,34.85,19946.0,44.53,13.24,453,19,43.27,49.5,2243,213.9,22.4,35.11,472.0,618.0,34.29,52.73,60.95
2020,Federally Administered Tribal Ar,F.A.T.A.,Khyber,District,Urban,Healthcare,1193256,156.83,7608.4,42.81,53.77,33.37,39432.0,44.32,13.39,249,24,53.08,47.31,8997,403.0,27.1,30.5,1467.0,1415.0,53.63,53.87,59.89
2021,Federally Administered Tribal Ar,F.A.T.A.,Khyber,District,Semi-Urban,Agriculture,1168915,306.34,3815.8,50.59,61.0,39.56,44316.0,32.88,11.86,287,13,59.03,45.79,2265,420.4,22.3,30.23,1695.0,1675.0,30.07,53.89,55.68
2022,Federally Administered Tribal Ar,F.A.T.A.,Khyber,District,Semi-Urban,Mining,1189208,190.18,6253.2,45.76,52.66,34.84,42186.0,34.88,12.04,459,26,53.92,52.44,7185,583.0,31.7,26.39,1993.0,1875.0,37.14,51.07,61.42
2023,Federally Administered Tribal Ar,F.A.T.A.,Khyber,District,Rural,Healthcare,1129591,345.21,3272.2,35.82,42.26,19.9,45509.0,44.57,12.15,362,19,37.51,50.0,2284,549.7,19.2,26.16,1134.0,2690.0,54.67,55.39,55.38
2024,Federally Administered Tribal Ar,F.A.T.A.,Khyber,District,Urban,Construction,1350347,374.43,3606.5,54.41,65.74,44.38,43215.0,31.66,14.14,299,17,51.12,52.31,1369,595.4,25.4,35.98,1395.0,2877.0,36.58,46.31,65.54
2015,Federally Administered Tribal Ar,F.A.T.A.,Kurram,District,Rural,Construction,716328,116.21,6164.3,44.99,50.03,27.48,32710.0,40.18,11.03,297,14,46.22,49.32,3094,216.9,29.6,32.66,1431.0,1183.0,35.17,55.29,61.41
2016,Federally Administered Tribal Ar,F.A.T.A.,Kurram,District,Rural,Agriculture,728866,138.19,5274.2,46.16,55.8,40.73,32083.0,39.42,10.1,307,9,45.86,42.82,4425,562.7,27.0,32.0,990.0,1579.0,32.19,57.68,61.9
2017,Federally Administered Tribal Ar,F.A.T.A.,Kurram,District,Rural,Education,746585,132.27,5644.3,40.58,44.05,26.86,23952.0,37.79,13.53,151,8,42.12,49.16,2381,207.0,21.6,37.47,596.0,980.0,30.75,56.64,57.8
2018,Federally Administered Tribal Ar,F.A.T.A.,Kurram,District,Rural,Healthcare,761264,240.16,3169.9,47.12,56.65,40.7,40683.0,37.68,16.02,265,10,56.45,50.33,1853,506.6,20.6,40.03,1845.0,2522.0,34.47,51.27,56.7
2019,Federally Administered Tribal Ar,F.A.T.A.,Kurram,District,Semi-Urban,Manufacturing,765651,237.86,3218.9,39.36,50.57,28.18,36505.0,37.71,10.88,212,12,37.58,36.2,1413,312.6,28.9,27.98,972.0,1370.0,17.34,54.53,54.0
2020,Federally Administered Tribal Ar,F.A.T.A.,Kurram,District,Rural,Construction,840247,124.75,6735.6,37.14,47.33,30.99,35405.0,41.56,13.73,234,11,41.69,46.69,4131,245.6,24.4,31.31,1442.0,1259.0,51.55,63.5,55.3
